ride_id,bike_type,starttime,stoptime,start station name,start_station_id,end station name,end_station_id,start station latitude,start station longitude,end station latitude,end station longitude,usertype,tripduration,bike_id,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m,CRASH_LATITUDE,CRASH_LONGITUDE,CRASH_DATETIME
40EDE699B23C0E16,classic_bike,2020-03-12 19:42:11.492,2020-03-12 19:49:58.051,Broadway & W 25 St,6173.08,W 30 St & 10 Ave,6459.07,40.742869,-73.989186,40.752694,-74.002353,member,,,,,start,4300259,45.58347730506546,1593.6423489737717,40.742813,-73.98865,2020-03-12 19:50:00
CDC7F889BE62B8A6,classic_bike,2020-03-12 19:50:17.184,2020-03-12 20:27:04.731,Broadway & W 25 St,6173.08,Grand St & Havemeyer St,5267.08,40.742869,-73.989186,40.712868,-73.956981,member,,,,,start,4300259,45.58347730506546,4267.1541680333185,40.742813,-73.98865,2020-03-12 19:50:00
62A853212595E4D4,classic_bike,2020-03-13 18:35:21.012,2020-03-13 18:48:42.215,E 115 St & Lexington Ave,7599.09,E 85 St & 3 Ave,7212.05,40.797911,-73.9423,40.778012,-73.954071,member,,,,,end,4300766,2340.043265130715,90.07323415813941,40.77882,-73.953995,2020-03-13 18:35:00
974043CBEF3A344A,classic_bike,2020-03-14 18:29:07.813,2020-03-14 18:42:35.828,Franklin Ave & Empire Blvd,3704.01,Fulton St & Clermont Ave,4386.05,40.66314,-73.96057,40.684157,-73.969223,member,,,,,end,4300139,2520.118784404795,94.5417350516014,40.6846,-73.97018,2020-03-14 18:30:00
D820FF4A7AE194C8,classic_bike,2020-03-19 16:39:06.281,2020-03-19 17:02:23.872,Sterling Pl & Bedford Ave,3993.03,Flushing Ave & Vanderbilt Ave,4762.05,40.672695,-73.954131,40.69795,-73.970776,member,,,,,end,4302412,3128.059894682963,12.464116867486586,40.697838,-73.97077,2020-03-19 16:40:00
288AFDDACB79C8A7,classic_bike,2020-03-25 11:58:09.153,2020-03-25 12:16:21.760,Cleveland Pl & Spring St,5492.05,9 Ave & W 18 St,6190.08,40.722104,-73.997249,40.743174,-74.003664,member,,,,,start,4307810,23.78895479573053,2385.7030802588692,40.722298,-73.99713,2020-03-25 12:16:00
EBC02801E8238854,classic_bike,2020-04-05 14:57:57.171,2020-04-05 15:35:29.530,South End Ave & Liberty St,5184.07,W 63 St & Broadway,7052.01,40.711512,-74.015756,40.771639,-73.982614,casual,,,,,start,4311481,6.7538551840419325,7240.901192047266,40.711567,-74.01579,2020-04-05 15:35:00
4312687CFAEB8569,classic_bike,2020-04-05 14:58:00.837,2020-04-05 15:35:25.358,South End Ave & Liberty St,5184.07,W 63 St & Broadway,7052.01,40.711512,-74.015756,40.771639,-73.982614,casual,,,,,start,4311481,6.7538551840419325,7240.901192047266,40.711567,-74.01579,2020-04-05 15:35:00
3210C20BA92CC63D,classic_bike,2020-04-05 14:58:20.326,2020-04-05 15:35:33.555,South End Ave & Liberty St,5184.07,W 63 St & Broadway,7052.01,40.711512,-74.015756,40.77163851,-73.98261428,casual,,,,,start,4311481,6.7538551840419325,7240.841827594091,40.711567,-74.01579,2020-04-05 15:35:00
8EE249237F1C0C1E,classic_bike,2020-04-05 15:35:56.294,2020-04-05 15:49:09.652,Bayard St & Baxter St,5351.03,South End Ave & Liberty St,5184.07,40.716021,-73.999744,40.711512,-74.015756,member,,,,,end,4311481,1440.2429658684791,6.7538551840419325,40.711567,-74.01579,2020-04-05 15:35:00
