tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
504,2016-05-06 20:44:38,2016-05-06 20:53:03,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,18403.0,Subscriber,1981.0,1.0,,,,,,,,,,,,,end,3436592,714.3150046340245,16.790797149888153
492,2016-05-06 20:44:53,2016-05-06 20:53:05,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,16617.0,Subscriber,1984.0,2.0,,,,,,,,,,,,,end,3436592,714.3150046340245,16.790797149888153
753,2016-05-07 17:47:02,2016-05-07 17:59:35,527.0,E 33 St & 2 Ave,40.744023,-73.976056,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,19623.0,Subscriber,1963.0,1.0,,,,,,,,,,,,,start,3437164,26.672095390420534,1974.1255582366875
224,2016-05-07 17:55:56,2016-05-07 17:59:41,501.0,FDR Drive & E 35 St,40.744219,-73.97121214,527.0,E 33 St & 2 Ave,40.744023,-73.976056,21269.0,Subscriber,1978.0,1.0,,,,,,,,,,,,,end,3437164,433.91812601229367,26.672095390420534
836,2016-05-12 09:06:29,2016-05-12 09:20:26,3016.0,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,3119.0,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,20856.0,Subscriber,1979.0,1.0,,,,,,,,,,,,,start,4022389,8.673868192574014,2530.0047409015992
970,2016-05-12 14:44:32,2016-05-12 15:00:43,3161.0,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,449.0,W 52 St & 9 Ave,40.76461837,-73.98789473,24976.0,Customer,,0.0,,,,,,,,,,,,,start,4022397,91.89865610458875,1863.4550392300323
388,2016-05-13 20:00:21,2016-05-13 20:06:50,379.0,W 31 St & 7 Ave,40.749156,-73.9916,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,19597.0,Subscriber,1990.0,1.0,,,,,,,,,,,,,end,3447882,1001.586908928958,80.8944321308629
637,2016-05-17 14:28:46,2016-05-17 14:39:23,499.0,Broadway & W 60 St,40.76915505,-73.98191841,3156.0,E 72 St & York Ave,40.76663814,-73.95348296,23214.0,Subscriber,1982.0,1.0,,,,,,,,,,,,,start,3443774,33.20344319018464,2422.9568222454263
897,2016-05-17 14:39:23,2016-05-17 14:54:20,499.0,Broadway & W 60 St,40.76915505,-73.98191841,359.0,E 47 St & Park Ave,40.75510267,-73.97498696,16089.0,Subscriber,1984.0,2.0,,,,,,,,,,,,,start,3443774,33.20344319018464,1645.9760185595355
262,2016-05-17 20:14:19,2016-05-17 20:18:42,229.0,Great Jones St,40.72743423,-73.99379025,285.0,Broadway & E 14 St,40.73454567,-73.99074142,19542.0,Subscriber,1988.0,1.0,,,,,,,,,,,,,start,4022413,72.29416854595358,769.8674222558453
